learning_rate,epochs,batch_size,hidden_layer_sizes,mean_accuracy,std_accuracy,mean_time,std_time,total_time,episodes_run
0.05,35,64,"128,128,64",0.9792500000000001,0.0006989277502002678,24.22584993839264,0.14134822209996203,242.2584993839264,10
0.05,45,64,"128,128,64",0.97918,0.0006660330322138652,30.565824007987977,0.18223760058639166,305.65824007987976,10
0.15,35,192,"128,128,64",0.97918,0.0014316424134538533,13.050027108192443,1.2900317506800458,130.50027108192444,10
0.05,40,64,"128,128,64",0.97909,0.0008166394553289734,27.278504610061646,0.2815569132488212,272.78504610061646,10
0.1,30,128,"128,128,64",0.97882,0.0008328265125462822,12.60089843273163,0.1632315331639078,126.00898432731628,10
0.05,30,64,"128,128,64",0.9787899999999998,0.0007189575787207504,20.62045783996582,0.20648128583899258,206.2045783996582,10
0.1,15,64,"128,128,64",0.9786400000000001,0.0017670314088889189,10.073176622390747,0.4389999410690838,100.73176622390747,10
0.15,15,64,"128,128,64",0.9786299999999999,0.0023524667904138417,10.386540269851684,0.16475592188511923,103.86540269851685,10
0.1,25,128,"128,128,64",0.9784299999999998,0.0005866003750425201,10.454347181320191,0.1146390508292155,104.5434718132019,10
0.05,25,64,"128,128,64",0.9783399999999999,0.0008499411744350337,17.200553202629088,0.2615257314441891,172.0055320262909,10
0.15,15,128,"128,128,64",0.9780300000000001,0.0018531324831214892,6.133149480819702,0.21780493054558542,61.33149480819702,10
0.15,30,192,"128,128,64",0.97793,0.002045996089927835,10.257424116134644,0.18835804375657778,102.57424116134644,10
0.1,20,128,"128,128,64",0.9777199999999999,0.001122319027727861,8.289187574386597,0.1569759831158933,82.89187574386597,10
0.1,40,192,"128,128,64",0.9776900000000002,0.0014781407240178521,13.620010232925415,0.23363544617771512,136.20010232925415,10
0.05,20,64,"128,128,64",0.9774800000000001,0.0016797618878876762,14.148441290855407,0.13211813062757555,141.48441290855408,10
0.1,45,256,"128,128,64",0.97743,0.0009560857702110152,13.3679114818573,0.38685838523368943,133.679114818573,10
0.15,10,64,"128,128,64",0.9772000000000001,0.0015614096195425452,6.559757256507874,0.3245767247048351,65.59757256507874,10
0.05,45,128,"128,128,64",0.9771899999999999,0.0009512623192369326,18.746675777435303,0.2302221117602449,187.46675777435303,10
0.1,30,192,"128,128,64",0.97698,0.0011124747188138756,10.184079551696778,0.08664710762172058,101.84079551696777,10
0.05,35,128,"128,128,64",0.97683,0.0009550392662084561,14.66187870502472,0.19077289256455993,146.6187870502472,10
0.15,10,128,"128,128,64",0.9767600000000002,0.0018784035775093627,3.968162488937378,0.2823842441062174,39.68162488937378,10
0.05,15,64,"128,128,64",0.97664,0.0015383107618423563,10.475097560882569,0.2592836666502684,104.75097560882568,10
0.1,15,128,"128,128,64",0.97654,0.002569513572643673,6.159052228927612,0.07787684054427355,61.59052228927612,10
0.15,25,192,"128,128,64",0.9765099999999999,0.003267858626073062,8.552014207839965,0.19115691729889597,85.52014207839966,10
0.15,35,256,"128,128,64",0.9764799999999999,0.0025257870060636733,11.553123664855956,0.9712263015913726,115.53123664855957,10
0.05,40,128,"128,128,64",0.9763900000000001,0.0011759676866308693,16.836754179000856,0.19007365469585544,168.36754179000854,10
0.1,10,64,"128,128,64",0.9761999999999998,0.0019026297590440623,6.796737575531006,0.3105551462504352,67.96737575531006,10
0.05,45,192,"128,128,64",0.97617,0.0014519297503667347,15.408469104766846,0.3017823581613686,154.08469104766846,10
